{'add_physics': False, 'objects': ['friend', 'enemy', 'square'], 'delta_v': 50, 'Timeout': 5, 'mod_observation': True, 'tolerable_distance_to_wall': 700, 'hero_initial_position': [600, 440], 'minimum_success_rate': 1.0, 'num_observation_lines': 32, 'hero_initial_speed': [0, 0], 'wall_distance_penalty': -0.0, 'delta_p': 20, 'add_psuedo_physics': False, 'object_reward': {'square': -100, 'enemy': -50, 'friend': 100}, 'accel': 50, 'hero_initial_accel': [0, 0], 'maximum_speed': [100, 100], 'world_size': (700, 500), 'hero_bounces_off_walls': False, 'num_objects': {'square': 1, 'enemy': 1, 'friend': 1}, 'speed': 0, 'colors': {'square': 'red', 'enemy': 'red', 'hero': 'yellow', 'friend': 'green'}, 'Rotation': False, 'object_radius': 10.0, 'observation_line_length': 120.0}
376 98 249 114 474 39 371 101 281 327 436 494 590 188 325 338 584 425 121 180 309 58 500 357 187 187 338 96 633 475 394 90 604 100 149 145 630 138 608 389 487 82 592 256 166 109 577 470 221 295 509 267 308 84 499 224 230 173 238 156 [[45, 260], 0]
[[45, 260], 0]
[[45, 260], 0]
[[45, 260], 0]
[[45, 260], 0]
[[45, 260], 0]
[[45, 260], 0]
[[45, 260], 0]
[[45, 260], 0]
[[45, 260], 0]
[[65, 260], 0]
[[65, 260], 0]
[[65, 260], 0]
[[65, 260], 0]
[[65, 260], 0]
[[65, 260], 0]
[[65, 260], 0]
[[65, 260], 0]
[[65, 260], 0]
[[65, 260], 0]
[[65, 260], 0]
[[65, 260], 0]
[[65, 260], 0]
[[65, 260], 0]
[[65, 260], 0]
[[65, 260], 0]
[[65, 260], 0]
[[65, 260], 0]
[[65, 260], 0]
[[65, 260], 0]
[[65, 260], 0]
[[65, 260], 0]
[[65, 260], 0]
[[65, 260], 0]
[[65, 260], 0]
[[65, 260], 0]
[[65, 260], 0]
[[65, 260], 0]
[[65, 260], 0]
[[65, 260], 0]
[[65, 240], 3]
[[65, 240], 3]
[[65, 240], 3]
[[65, 240], 3]
[[65, 240], 3]
[[65, 240], 3]
[[65, 240], 3]
[[65, 240], 3]
[[65, 240], 3]
[[65, 240], 3]
[[65, 240], 3]
[[65, 240], 3]
[[65, 240], 3]
[[65, 240], 3]
[[65, 240], 3]
[[65, 240], 3]
[[65, 240], 3]
[[65, 240], 3]
[[65, 240], 3]
[[65, 240], 3]
[[65, 240], 3]
[[65, 240], 3]
[[65, 240], 3]
[[65, 240], 3]
[[65, 240], 3]
[[65, 240], 3]
[[65, 240], 3]
[[65, 240], 3]
[[65, 240], 3]
[[65, 240], 3]
[[65, 220], 3]
[[65, 220], 3]
[[65, 220], 3]
[[65, 220], 3]
[[65, 220], 3]
[[65, 220], 3]
[[65, 220], 3]
[[65, 220], 3]
[[65, 220], 3]
[[65, 220], 3]
[[65, 220], 3]
[[65, 220], 3]
[[65, 220], 3]
[[65, 220], 3]
[[65, 220], 3]
[[65, 220], 3]
[[65, 220], 3]
[[65, 220], 3]
[[65, 220], 3]
[[65, 220], 3]
[[65, 220], 3]
[[65, 220], 3]
[[65, 220], 3]
[[65, 220], 3]
[[65, 220], 3]
[[65, 220], 3]
[[65, 220], 3]
[[65, 220], 3]
[[65, 220], 3]
[[65, 220], 3]
[[65.0, 220.0], 4]
[[65.0, 220.0], 4]
[[65.0, 220.0], 4]
[[65.0, 220.0], 4]
[[65.0, 220.0], 4]
[[65.0, 220.0], 4]
[[65.0, 220.0], 4]
[[65.0, 220.0], 4]
[[65.0, 220.0], 4]
[[65.0, 220.0], 4]
[[65.0, 220.0], 4]
[[65.0, 220.0], 4]
[[65.0, 220.0], 4]
[[65.0, 220.0], 4]
[[65.0, 220.0], 4]
[[65.0, 220.0], 4]
[[65.0, 220.0], 4]
[[65.0, 220.0], 4]
[[65.0, 220.0], 4]
[[65.0, 220.0], 4]
[[65.0, 220.0], 4]
[[65.0, 220.0], 4]
[[65.0, 220.0], 4]
[[65.0, 220.0], 4]
[[65.0, 220.0], 4]
[[65.0, 220.0], 4]
[[65.0, 220.0], 4]
[[65.0, 220.0], 4]
[[65.0, 220.0], 4]
[[65.0, 220.0], 4]
[[65.0, 220.0], 4]
[[65.0, 220.0], 4]
[[65.0, 220.0], 4]
[[65.0, 220.0], 4]
[[65.0, 220.0], 4]
[[65.0, 220.0], 4]
[[65.0, 220.0], 4]
[[65.0, 220.0], 4]
[[65.0, 220.0], 4]
[[65.0, 220.0], 4]
[[65.0, 220.0], 4]
[[65.0, 220.0], 4]
[[65.0, 220.0], 4]
[[65.0, 220.0], 4]
[[65.0, 220.0], 4]
[[65.0, 220.0], 4]
[[65.0, 220.0], 4]
[[65.0, 220.0], 4]
[[65.0, 220.0], 4]
[[65.0, 220.0], 4]
[[65.0, 220.0], 4]
[[65.0, 220.0], 4]
[[65.0, 220.0], 4]
[[65.0, 220.0], 4]
[[65.0, 220.0], 4]
[[65.0, 220.0], 4]
[[65.0, 220.0], 4]
[[65.0, 220.0], 4]
[[65.0, 220.0], 4]
[[65.0, 220.0], 4]
[[65.0, 240.0], 1]
[[65.0, 240.0], 1]
[[65.0, 240.0], 1]
[[65.0, 240.0], 1]
[[65.0, 240.0], 1]
[[65.0, 240.0], 1]
[[65.0, 240.0], 1]
[[65.0, 240.0], 1]
[[65.0, 240.0], 1]
[[65.0, 240.0], 1]
[[65.0, 240.0], 1]
[[65.0, 240.0], 1]
[[65.0, 240.0], 1]
[[65.0, 240.0], 1]
[[65.0, 240.0], 1]
[[65.0, 240.0], 1]
[[65.0, 240.0], 1]
[[65.0, 240.0], 1]
[[65.0, 240.0], 1]
[[65.0, 240.0], 1]
[[65.0, 240.0], 1]
[[65.0, 240.0], 1]
[[65.0, 240.0], 1]
[[65.0, 240.0], 1]
[[65.0, 240.0], 1]
[[65.0, 240.0], 1]
[[65.0, 240.0], 1]
[[65.0, 240.0], 1]
[[65.0, 240.0], 1]
[[65.0, 240.0], 1]
[[85.0, 240.0], 0]
[[85.0, 240.0], 0]
[[85.0, 240.0], 0]
[[85.0, 240.0], 0]
[[85.0, 240.0], 0]
